x,y,z
-7.068553,-5.870380,26.939164
-6.945086,-5.900203,26.607092
-6.836614,-5.954470,26.273058
-6.745162,-6.033179,25.941169
-6.672337,-6.136123,25.615199
-6.619383,-6.263179,25.298333
-6.587381,-6.414655,24.993131
-6.577556,-6.591711,24.701636
-6.591723,-6.797045,24.425496
-6.633211,-7.036552,24.165853
-6.709882,-7.325592,23.921943
-6.866255,-7.760586,23.668068
-7.000512,-8.068561,23.557293
-7.151787,-8.377602,23.497226
-7.308038,-8.668559,23.484864
-7.471915,-8.950859,23.513018
-7.640912,-9.222298,23.577893
-7.813934,-9.482533,23.676540
-7.989469,-9.730148,23.806257
-8.166179,-9.963794,23.964561
-8.342769,-10.182070,24.149034
-8.518041,-10.383649,24.357328
-8.690887,-10.567294,24.587147
-8.860282,-10.731869,24.836258
-9.025280,-10.876337,25.102493
-9.184995,-10.999746,25.383746
-9.338592,-11.101218,25.677973
-9.485268,-11.179928,25.983188
-9.624244,-11.235086,26.297461
-9.754739,-11.265911,26.618913
-9.875962,-11.271598,26.945721
-9.987049,-11.251285,27.276003
-10.087063,-11.204019,27.607874
-10.175028,-11.128620,27.939707
-10.249804,-11.023463,28.270069
-10.309970,-10.886068,28.597920
-10.353573,-10.712075,28.923168
-10.377417,-10.492011,29.248660
-10.373484,-10.192297,29.593296
-10.331020,-9.837993,29.900355
-10.275082,-9.558382,30.084799
-10.200335,-9.272065,30.229948
-10.112987,-8.996113,30.332638
-10.013096,-8.724706,30.400620
-9.902313,-8.459619,30.436655
-9.781516,-8.201149,30.443159
-9.651648,-7.950185,30.421907
-9.513529,-7.707554,30.374336
-9.367945,-7.474123,30.301640
-9.215743,-7.250887,30.204901
-9.057689,-7.038702,30.085045
-8.894525,-6.838389,29.942872
-8.727005,-6.650775,29.779077
-8.555909,-6.476704,29.594269
-8.382059,-6.317049,29.388988
-8.206345,-6.172732,29.163724
-8.029752,-6.044742,28.918950
-7.853402,-5.934159,28.655176
-7.678599,-5.842168,28.373033
-7.506899,-5.770061,28.073405
-7.340162,-5.719214,27.757615
-7.180602,-5.690999,27.427659
-7.030756,-5.686639,27.086406
-6.893339,-5.707004,26.737657
-6.770983,-5.752446,26.385899
-6.665928,-5.822776,26.035781
-6.579849,-5.917446,25.691521
-6.513878,-6.035867,25.356554
-6.468815,-6.177754,25.033492
-6.445405,-6.343440,24.724308
-6.444675,-6.534229,24.430583
-6.468368,-6.753022,24.153690
-6.519835,-7.005880,23.894776
-6.606910,-7.307775,23.653747
-6.767141,-7.736489,23.414591
-6.920404,-8.080265,23.297071
-7.082630,-8.405510,23.240357
-7.251650,-8.715810,23.232952
-7.427393,-9.015208,23.268267
-7.608269,-9.303250,23.342214
-7.792896,-9.579122,23.451589
-7.979776,-9.841446,23.593524
-8.167493,-10.088758,23.765323
-8.354710,-10.319594,23.964377
-8.540190,-10.532574,24.188153
-8.722804,-10.726434,24.434192
-8.901518,-10.900024,24.700119
-9.075382,-11.052304,24.983639
-9.243517,-11.182327,25.282544
-9.405095,-11.289221,25.594699
-9.559323,-11.372173,25.918043
-9.705429,-11.430399,26.250579
-9.842643,-11.463128,26.590368
-9.970181,-11.469562,26.935531
-10.087207,-11.448837,27.284205
-10.192761,-11.400006,27.634374
-10.285871,-11.321904,27.984359
