SunX,SunY,PlanetX,PlanetY,zComp
1.638381,-12.806739,235280069.654165,-1646429324.581785,0
1.767084,-13.782656,236639773.971553,-1646242709.557323,0
1.910439,-14.866096,238093918.545084,-1646041866.785196,0
2.070632,-16.072558,239651984.455107,-1645825217.881007,0
2.250259,-17.420309,241324696.009968,-1645590953.999507,0
2.452409,-18.930976,243124222.257754,-1645336993.898737,0
2.680785,-20.630284,245064417.498372,-1645060932.815261,0
2.939845,-22.548994,247161109.597981,-1644759979.782377,0
3.234989,-24.724070,249432447.185359,-1644430880.317588,0
3.572799,-27.200190,251899319.754297,-1644069820.460066,0
3.961347,-30.031665,254585868.527002,-1643672306.861112,0
4.410609,-33.284928,257520110.949558,-1643233015.888845,0
4.932995,-37.041776,260734708.303728,-1642745602.311844,0
5.544069,-41.403623,264267914.700352,-1642202454.796633,0
6.263520,-46.497133,268164757.466951,-1641594380.779050,0
7.116472,-52.481753,272478514.782152,-1640910196.633655,0
8.135294,-59.559876,277272577.945965,-1640136189.535279,0
9.362131,-67.990696,282622815.213243,-1639255403.549086,0
10.852460,-78.109318,288620595.005367,-1638246682.066504,0
12.680193,-90.353402,295376683.463878,-1637083368.189322,0
14.945093,-105.300810,303026312.004181,-1635731518.367006,0
17.783727,-123.723487,311735825.691705,-1634147413.203721,0
21.385937,-146.665723,321711489.461948,-1632274037.341938,0
26.020096,-175.559605,333211271.831515,-1630036021.263356,0
32.072645,-212.398206,346560784.114918,-1627332245.736964,0
40.111446,-260.000198,362175088.650831,-1624024822.589997,0
50.989897,-322.422257,380588898.440640,-1619922333.890586,0
66.022910,-405.615945,402498923.683043,-1614753754.689183,0
87.293775,-518.499271,428824010.447989,-1608126859.076397,0
118.208202,-674.751361,460791605.907400,-1599460030.711498,0
164.534450,-895.906990,500063418.668931,-1587867023.211262,0
236.443968,-1216.867697,548919274.097965,-1571955521.702845,0
352.720529,-1696.075284,610525392.278255,-1549461556.051542,0
549.954006,-2435.054073,689316019.551309,-1516557712.423125,0
903.993646,-3617.624036,791489998.956487,-1466482270.114726,0
1584.008504,-5592.334915,925461862.007109,-1386683671.805916,0
3001.587403,-9053.876257,1101380321.580885,-1252564942.735406,0
6268.447164,-15455.406830,1325673276.166191,-1013251557.296791,0
14793.744495,-27915.978441,1572240216.627737,-560318459.255196,0
40769.297207,-52434.026408,1641364130.123185,311180953.626442,0
122122.667521,-84432.581561,690737429.871157,1518772095.345414,0
259296.283756,-57012.919498,-1233537736.132989,970887286.598477,0
348680.786589,26013.479762,-773763697.639868,-869944744.703341,0
130758.508985,-70411.867651,10933189605.553450,6011738629.606437,0
-965415.401515,-602238.005351,73007183062.687546,25424575485.855022,0
